[A	1.8	0.4	[2, 2, 1, 2, 2, 2, 2, 1, 2, 2]
4tue	-2.5	0.92195	[-2, -3, -2, -3, -4, -1, -3, -3, -1, -3]
abandon	-2.4	1.0198	[-4, -2, -1, -4, -2, -1, -2, -3, -3, -2]
abandonnant	-1.6	0.8	[-3, -2, -3, -2, -1, -1, -1, -1, -1, -1]
abandonne	-1.3	0.9	[-2, -1, -1, -2, -1, -2, -1, -2, 1, -2]
abandonner	-1.9	0.53852	[-1, -2, -2, -2, -2, -3, -2, -2, -1, -2]
abandonnes	-1.3	0.9	[-2, -1, -1, -2, -1, -2, -1, -2, 1, -2]
abandonneur	-1.9	0.83066	[-1, -1, -3, -2, -1, -3, -1, -2, -3, -2]
abandonneurs	-1.9	0.83066	[-2, -3, -2, -3, -2, -1, -2, -2, 0, -2]
abandonneuse	-1.9	0.83066	[-1, -1, -3, -2, -1, -3, -1, -2, -3, -2]
abandonneuses	-1.9	0.83066	[-2, -3, -2, -3, -2, -1, -2, -2, 0, -2]
abandonné	-2.0	1.09545	[-1, -1, -3, -2, -1, -4, -1, -3, -3, -1]
abandons	-1.7	0.45826	[-2, -1, -2, -2, -1, -2, -1, -2, -2, -2]
abasourdi	-0.3	1.11355	[-2, 0, -2, 0, -2, -1, -4, -1, -2, -2]
abasourdie	-0.3	1.11355	[-2, 0, -2, 0, -2, -1, -4, -1, -2, -2]
abasourdies	-0.3	1.11355	[-2, 0, -2, 0, -2, -1, -4, -1, -2, -2]
abasourdir	-0.1	1.92094	[3, -2, -1, -1, 1, 1, -3, 3, -1, -1]
abasourdis	-0.3	1.11355	[-2, 0, -2, 0, -2, -1, -4, -1, -2, -2]
abasourdissant	-0.8	0.74833	[-1, -2, 0, -1, -1, 0, 0, -1, 0, -2]
abasourdissante	-0.8	0.74833	[-1, -2, 0, -1, -1, 0, 0, -1, 0, -2]
abassourdissantes	-0.8	0.74833	[-1, -2, 0, -1, -1, 0, 0, -1, 0, -2]
abassourdissants	-0.8	0.74833	[-1, -2, 0, -1, -1, 0, 0, -1, 0, -2]
abattu	-0.7	0.78102	[-1, -2, -2, -4, -2, -2, -2, -3, -3, -2]
abattue	-1.1	0.78102	[-1, -2, -2, -4, -2, -2, -2, -3, -3, -2]
abattues	-1.1	0.78102	[-1, -2, -2, -4, -2, -2, -2, -3, -3, -2]
abattus	-1.1	0.78102	[-1, -2, -2, -4, -2, -2, -2, -3, -3, -2]
abhorrer	-2.2	2.08806	[-1, -4, -3, -2, -4, 2, 1, -3, -4, -4]
abondamment	1.9	0.53852	[2, 2, 2, 2, 3, 1, 2, 2, 1, 2]
abruti	-0.5	0.53852	[-2, -2, -1, -3, -2, -2, -2, -2, -1, -2]
abrutie	-0.5	0.53852	[-2, -2, -1, -3, -2, -2, -2, -2, -1, -2]
abruties	-0.4	0.91652	[-3, -2, -1, 0, -3, -1, -1, -2, -2, -1]
abrutis	-0.4	0.91652	[-3, -2, -1, 0, -3, -1, -1, -2, -2, -1]
absent	-1.1	0.53852	[-1, -1, 0, -2, -1, -1, -2, -1, -1, -1]
absents	-0.8	0.6	[-1, 0, 0, -1, -1, 0, -2, -1, -1, -1]
absorbé	0.6	1.49666	[0, 2, 0, 2, -2, 2, 3, -1, 0, 0]
absorbée	0.6	1.49666	[0, 2, 0, 2, -2, 2, 3, -1, 0, 0]
absorbées	0.6	1.49666	[0, 2, 0, 2, -2, 2, 3, -1, 0, 0]
absorbés	0.6	1.49666	[0, 2, 0, 2, -2, 2, 3, -1, 0, 0]
absoudre	1.2	1.46969	[2, -3, 2, 2, 1, 1, 2, 1, 2, 2]
absous	1.5	0.92195	[3, 1, 2, 1, 0, 2, 3, 1, 1, 1]
absurde	-1.5	1.36015	[2, -2, -2, -1, -1, -1, -3, -3, -2, -2]
absurdes	-1.5	1.36015	[2, -2, -2, -1, -1, -1, -3, -3, -2, -2]
absurdité	-1.7	0.64031	[-3, -1, -1, -1, -2, -1, -2, -2, -2, -2]
absurdités	-1.7	0.64031	[-3, -1, -1, -1, -2, -1, -2, -2, -2, -2]
abuse	-0.8	1.13578	[-3, -4, -4, -4, -3, -4, 0, -3, -3, -3]
abuser	-1.7	0.64031	[-1, -2, -2, -1, -2, -1, -1, -3, -2, -2]
abuses	-0.8	1.13578	[-3, -4, -4, -4, -3, -4, 0, -3, -3, -3]
abuseur	-2.3	1.61555	[-4, -2, -1, -4, -2, -1, -4, -4, 1, -2]
abuseurs	-2.2	1.66132	[-2, -4, -3, -3, -3, 1, 1, -3, -3, -3]
abusez	-3.1	1.13578	[-3, -4, -4, -4, -3, -4, 0, -3, -3, -3]
abusé	-1.9	1.3	[1, -3, -3, -1, -1, -2, -2, -2, -4, -2]
abusée	-1.9	1.3	[1, -3, -3, -1, -1, -2, -2, -2, -4, -2]
abusées	-1.9	1.3	[1, -3, -3, -1, -1, -2, -2, -2, -4, -2]
abusés	-1.9	1.3	[1, -3, -3, -1, -1, -2, -2, -2, -4, -2]
abâtardi	-2.3	0.9	[-3, -2, -3, -1, -2, -3, -4, -1, -2, -2]
abâtardie	-2.3	0.9	[-3, -2, -3, -1, -2, -3, -4, -1, -2, -2]
abâtardies	-2.3	1.18743	[-1, -4, -2, -3, -3, 0, -2, -4, -2, -2]
abâtardir	-2.1	0.83066	[-2, -1, -4, -2, -2, -3, -2, -2, -2, -1]
abâtardis	-2.3	1.18743	[-1, -4, -2, -3, -3, 0, -2, -4, -2, -2]
abâtardisant	-2.6	0.8	[-3, -2, -3, -2, -2, -1, -3, -4, -3, -3]
accablant	-1.4	0.8	[-1, -3, -1, -1, -1, -1, -3, -1, -1, -1]
accablante	-1.4	0.8	[-1, -3, -1, -1, -1, -1, -3, -1, -1, -1]
accablantes	-1.4	0.8	[-1, -3, -1, -1, -1, -1, -3, -1, -1, -1]
accablants	-1.4	0.8	[-1, -3, -1, -1, -1, -1, -3, -1, -1, -1]
accablé	-1.5	1.0247	[-1, -2, -3, -2, 1, -1, -1, -2, -2, -2]
accablée	-1.5	1.0247	[-1, -2, -3, -2, 1, -1, -1, -2, -2, -2]
acceptabilité	1.6	0.66332	[0, 2, 2, 2, 1, 2, 2, 2, 1, 2]
acceptabilités	1.1	0.53852	[1, 0, 1, 2, 1, 2, 1, 1, 1, 1]
acceptable	0.7	0.8	[2, 1, 2, 1, 2, 1, 3, 0, 2, 2]
acceptablement	1.5	0.67082	[3, 2, 1, 1, 1, 2, 1, 1, 2, 1]
acceptables	1.6	0.8	[2, 1, 2, 1, 2, 1, 3, 0, 2, 2]
acceptant	0.8	0.8	[0, 1, 2, 2, 2, 1, 2, 1, 3, 2]
accepte	1.6	0.91652	[2, 1, 2, 1, 1, 2, 4, 1, 1, 1]
accepter	1.6	0.91652	[2, 1, 2, 1, 1, 2, 4, 1, 1, 1]
acceptes	1.6	0.91652	[2, 1, 2, 1, 1, 2, 4, 1, 1, 1]
accepté	1.1	0.3	[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]
accident	-0.6	0.83066	[-2, -2, -1, -3, -4, -2, -2, -1, -2, -2]
accidentel	-0.3	0.45826	[-1, -1, 0, 0, 0, 0, 0, 0, -1, 0]
accidentellement	-1.4	0.91652	[-2, 0, -2, 0, -3, -1, -1, -1, -2, -2]
accidents	-1.3	0.78102	[-1, -1, -1, -1, -2, 0, -3, -1, -2, -1]
accolade	0.7	1.04403	[1, 3, 2, 1, 1, 2, 3, 3, 1, 4]
accolades	2.1	1.04403	[1, 3, 2, 1, 1, 2, 3, 3, 1, 4]
accompli	1.9	0.53852	[2, 2, 2, 1, 2, 2, 3, 1, 2, 2]
accomplir	1.8	0.6	[1, 2, 3, 2, 2, 2, 1, 1, 2, 2]
accomplis	1.7	0.9	[2, 2, 1, 0, 2, 3, 3, 1, 1, 2]
accomplit	1.7	0.9	[2, 2, 1, 0, 2, 3, 3, 1, 1, 2]
accord	0.8	0.74833	[2, 1, 1, 3, 3, 3, 2, 2, 2, 3]
accordant	1.3	0.45826	[2, 1, 1, 2, 1, 2, 1, 1, 1, 1]
accorde	0.9	0.7	[2, 1, 2, 1, 0, 1, 0, 0, 1, 1]
accordent	0.9	0.7	[2, 1, 2, 1, 0, 1, 0, 0, 1, 1]
accorder	1.5	0.80623	[2, 2, 1, 0, 3, 1, 1, 1, 2, 2]
accordes	0.9	0.7	[2, 1, 2, 1, 0, 1, 0, 0, 1, 1]
accordez	0.9	0.7	[2, 1, 2, 1, 0, 1, 0, 0, 1, 1]
accords	1.1	1.13578	[0, 1, 0, 1, 1, 2, 1, 0, 4, 1]
accordé	1.0	1.09545	[3, 0, 0, 0, 0, 1, 2, 2, 2, 0]
accordées	0.5	1.09545	[3, 0, 0, 0, 0, 1, 2, 2, 2, 0]
accordés	1.0	1.09545	[3, 0, 0, 0, 0, 1, 2, 2, 2, 0]
accueillant	1.9	0.7	[2, 2, 1, 1, 2, 2, 2, 3, 3, 1]
accueille	1.7	0.78102	[1, 1, 2, 2, 3, 3, 1, 2, 1, 1]
accueillent	1.7	0.78102	[1, 1, 2, 2, 3, 3, 1, 2, 1, 1]
accueilles	1.7	0.78102	[1, 1, 2, 2, 3, 3, 1, 2, 1, 1]
accueillez	1.7	0.78102	[1, 1, 2, 2, 3, 3, 1, 2, 1, 1]
accueilli	1.4	0.4899	[1, 1, 2, 2, 1, 2, 1, 2, 1, 1]
accueillie	1.4	0.4899	[1, 1, 2, 2, 1, 2, 1, 2, 1, 1]
accueillies	1.4	0.4899	[1, 1, 2, 2, 1, 2, 1, 2, 1, 1]
accueillir	2.0	0.63246	[1, 3, 2, 1, 2, 2, 2, 2, 3, 2]
accueillis	1.4	0.4899	[1, 1, 2, 2, 1, 2, 1, 2, 1, 1]
accueillons	1.7	0.78102	[1, 1, 2, 2, 3, 3, 1, 2, 1, 1]
accusant	-0.7	1.34536	[-2, -1, -1, 1, -3, -1, -1, 2, -1, 0]
accusation	-1.0	1.09545	[-1, -1, -2, -2, -2, -1, -1, -1, 2, -1]
accusations	-1.3	1.26886	[-2, -2, -1, -3, -2, -1, -1, 2, -2, -1]
accuse	-0.8	1.53623	[-3, -1, -1, -2, 1, -2, 1, -2, 2, -1]
accuser	-0.4	1.42829	[-4, -2, -2, -1, -1, -1, -2, 2, -2, -1]
accuses	-0.8	1.53623	[-3, -1, -1, -2, 1, -2, 1, -2, 2, -1]
accusé	-1.2	1.46969	[-2, -1, -2, 2, -2, -3, -2, -2, -1, 1]
accusée	-1.2	1.46969	[-2, -1, -2, 2, -2, -3, -2, -2, -1, 1]
acquis	1.6	0.66332	[2, 1, 2, 1, 1, 3, 2, 1, 2, 1]
acquise	1.6	0.66332	[2, 1, 2, 1, 1, 3, 2, 1, 2, 1]
acquises	1.6	0.66332	[2, 1, 2, 1, 1, 3, 2, 1, 2, 1]
acquitte	0.8	1.72047	[-3, 3, -1, 3, 2, 1, 1, 1, 0, 1]
acquitter	0.8	1.72047	[-3, 3, -1, 3, 2, 1, 1, 1, 0, 1]
acquittes	0.1	1.37477	[1, -3, -1, 0, 2, 0, -1, 1, 1, 1]
acquitté	1.0	0.89443	[2, 2, 1, 1, 2, 0, 1, 1, -1, 1]
acquérir	2.4	0.4899	[2, 3, 2, 2, 3, 2, 3, 2, 3, 2]
acrimonieuse	-1.7	1.73494	[-1, -3, -2, -3, 3, -3, -1, -2, -2, -3]
